k,f,grad_norm,t_k
285,-132.10244216416427,0.5886990138672086,1.0
286,-132.10370958609823,0.5842746167994419,1.0
287,-132.10508632694695,0.5759465712462094,1.0
288,-132.1064910793879,0.57110289929542,1.0
289,-132.10797793503,0.5671014461650445,1.0
290,-132.10906962714637,0.5592946271548128,1.0
291,-132.1103591961876,0.554545963256772,1.0
292,-132.11192540919717,0.5478876812536232,1.0
293,-132.1130929422314,0.5420252755063808,1.0
294,-132.11465446334563,0.5394672458777806,1.0
295,-132.11582668715832,0.5317885379754622,1.0
296,-132.11728449903146,0.52541379056334,1.0
297,-132.11859426852442,0.5242994869258978,1.0
298,-132.12025811058282,0.516720144281471,1.0
299,-132.12139451040062,0.5108071316938438,1.0
300,-132.12287116244136,0.5052088696599463,1.0
301,-132.12385180660036,0.501602601493323,1.0
302,-132.12507216941407,0.49514546263705805,1.0
303,-132.12605143091378,0.48754681181336584,1.0
304,-132.12688811015911,0.48061972255204827,1.0
305,-132.1276162461319,0.47482116190137663,1.0
306,-132.1290645009844,0.4668714296895911,1.0
307,-132.13000948838112,0.46264492940346574,1.0
308,-132.13134978001494,0.4571841672495954,1.0
309,-132.131996671923,0.454669668921845,1.0
310,-132.1330645011898,0.44893295303102054,1.0
311,-132.13411567294378,0.44254837579225875,1.0
312,-132.13524506725037,0.44072841410487645,1.0
313,-132.13603627366072,0.4357933686092376,1.0
314,-132.13681446017242,0.43459252951708827,1.0
315,-132.1378758712821,0.42585854445063404,1.0
316,-132.13850784984368,0.4218074634679461,1.0
317,-132.13938074264306,0.41703233788227706,1.0
318,-132.14028128086116,0.4105106531409764,1.0
319,-132.14108332705953,0.40662728917249125,1.0
320,-132.14172712030353,0.40120729542931627,1.0
321,-132.14258460290878,0.397578995111661,1.0
322,-132.14329975575612,0.39417270181761865,1.0
323,-132.14396139647837,0.39025482781581494,1.0
324,-132.1446029332341,0.3848670178937981,1.0
325,-132.14536679911544,0.38091309701494,1.0
326,-132.14592805862432,0.37666173218992005,1.0
327,-132.1466102373062,0.37183272972750014,1.0
328,-132.1471196631826,0.3688324959701398,1.0
329,-132.14764270429427,0.36573539077709377,1.0
330,-132.1482556667442,0.36169392878217466,1.0
331,-132.14892828410677,0.3572125622925639,1.0
332,-132.14952932981976,0.3525191919469852,1.0
333,-132.14999839641987,0.35125676254397625,1.0
334,-132.15063765731654,0.3477804393589226,1.0
335,-132.1512356099109,0.34263013670790987,1.0
336,-132.1519440731918,0.3393699401866402,1.0
337,-132.15233510654818,0.3370251654921741,1.0
338,-132.1528159102429,0.33207390822819727,1.0
339,-132.15328495190207,0.3297112452854752,1.0
