k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
135,7.215863088395488,5.396028023027273,0.721566674167844,0.0625,7,4,10,1e-08,1e-08,2,440.43988980034595
136,7.214561622022733,5.046861510663736,0.7213454989134742,0.015625,7,4,10,1e-08,1e-08,10,118.32862110722108
137,7.214143272002519,4.947271416110342,0.721097939028235,0.00390625,7,4,10,1e-08,1e-08,10,175.66018764696886
138,7.2139841347022164,4.924887046872245,0.7211289851293866,0.0078125,7,4,10,1e-08,1e-08,10,34010.893701892266
139,7.213655793682668,4.8918816831868694,0.7211579191447872,0.00390625,7,4,10,1e-08,1e-08,10,5063791.471853145
140,7.213652840346378,4.860630693037902,0.7210404070028377,0.0078125,7,4,10,1e-08,1e-08,10,2640046.435102687
141,7.21353504709691,4.84004882418856,0.7211606923560946,0.0078125,7,4,10,1e-08,1e-08,10,427.3771865454028
142,7.213341174520423,4.810382772133764,0.7212130280194998,0.03125,7,4,10,1e-08,1e-08,10,3570.5767183928383
143,7.213155830001455,4.67647690978528,0.7210560440946231,0.03125,7,4,10,1e-08,1e-08,10,821118.0300211653
144,7.2126758539589835,4.438749883919914,0.7202794436598454,0.00390625,7,4,10,1e-08,1e-08,5,416.8307542658111
145,7.2124391711923925,4.395217502397437,0.7201503081511786,0.00390625,7,4,10,1e-08,1e-08,10,510.03433253664593
146,7.195338101486966,5.154796231204144,0.7315919539160235,0.015625,7,4,10,1e-08,1e-08,10,4523.400575317229
147,7.195271892682495,5.057879412330391,0.7317956144454657,0.00390625,7,4,10,1e-08,1e-08,10,3796.622691716788
148,7.182871555707572,6.170440541973315,0.7364643952265529,0.25,7,4,10,1e-08,1e-08,10,7223747.733874865
149,7.178991169286495,4.467512639355237,0.7333277172739391,0.00390625,7,4,10,1e-08,1e-08,10,6091804.155020677
150,7.158550997469914,5.13911962115037,0.7449979011642491,0.00390625,7,4,10,1e-08,1e-08,4,404.2707073272731
151,7.149235479843816,6.5024339082784355,0.7499720041793859,0.0625,7,4,10,1e-08,1e-08,10,34129.75756100107
152,7.147932582432466,6.141170412450785,0.7500484970756864,0.00390625,7,4,10,1e-08,1e-08,10,357832.431201403
153,7.145336388889074,7.9716698489157345,0.7625703813697875,0.0009765625,7,4,10,1e-08,1e-08,7,461.8560513706965
154,7.145236806728542,7.9560902731552074,0.7626801094429014,0.00390625,7,4,10,1e-08,1e-08,10,867857.3827752958
155,7.145160729530093,7.910390263021333,0.7627459624889503,0.0078125,7,4,10,1e-08,1e-08,10,777906.0568081209
156,7.145010039313792,7.85218083827217,0.7626902500457143,0.001953125,7,4,10,1e-08,1e-08,8,459.68844586669906
157,7.089096845686286,2.8246217917177745,0.7636082736347479,0.0078125,7,4,10,1e-08,1e-08,10,59.579171259123804
158,7.065951691730403,5.958902658915297,0.7822957843907192,0.00390625,7,4,10,1e-08,1e-08,10,101.52666142245192
159,7.065937797287894,5.936915572561468,0.7822594476802899,0.001953125,7,4,10,1e-08,1e-08,10,4251.611881488567
160,7.032233370499884,2.6919986691971185,0.7842254422710208,0.0078125,7,4,10,1e-08,1e-08,10,269289.51475535776
161,7.004172871990205,5.384018283634478,0.8027608062941418,0.001953125,7,4,10,1e-08,1e-08,4,457.3773037227387
162,6.976049212032968,2.700496049088143,0.8050113293932426,0.0078125,7,4,10,1e-08,1e-08,10,70906.76349153074
163,6.949661923953397,5.642031114993636,0.8234373085201767,0.001953125,7,4,10,1e-08,1e-08,10,123453.14337974651
164,6.920344137479815,2.822648414698694,0.8255937441286659,0.0009765625,7,4,10,1e-08,1e-08,10,5701733.538301954
