k,f,grad_norm,alpha
325,-21.87810362525132,4.259277177566355,1.0
326,-21.886903948937427,4.25108492261713,1.0
327,-21.89619556163737,4.250573289027769,1.0
328,-21.9031527939981,4.2134538926887135,1.0
329,-21.911125010165726,4.20696387793798,1.0
330,-21.918540439084584,4.193177477941305,1.0
331,-21.9262110466605,4.191027895374534,1.0
332,-21.936328153871006,4.165097128810269,1.0
333,-21.943439636852993,4.191026665086167,1.0
334,-21.952550807426235,4.170675599918314,1.0
335,-21.961719458181364,4.1540833118582565,1.0
336,-21.973764307580876,4.1610363790762515,1.0
337,-21.980111303944142,4.157328636414922,1.0
338,-21.987813027961394,4.128673529134949,1.0
339,-21.995713844104344,4.1184541589942985,1.0
340,-22.006339684438437,4.141557345461993,1.0
341,-22.014537085969582,4.159200297708888,1.0
342,-22.026782973093795,4.172999597682094,1.0
343,-22.035038314516072,4.167994351349726,1.0
344,-22.045564838000903,4.121194933030055,1.0
345,-22.05092948813656,4.110675533764584,1.0
346,-22.057417763981686,4.08153395364952,1.0
347,-22.066825340750196,4.076699835788633,1.0
348,-22.07788243683877,4.0424087919622105,1.0
349,-22.086184619341847,4.044078708429876,1.0
350,-22.09638765884323,4.024973931181208,1.0
351,-22.104299221188274,3.98981116689429,1.0
352,-22.109385893226374,3.9923501324104618,1.0
353,-22.1138634357941,3.9826564061942458,1.0
354,-22.12071451399487,3.9303878113132336,1.0
355,-22.127218357833033,3.904462078811971,1.0
356,-22.137189507830303,3.8930425306603214,1.0
357,-22.146402839751737,3.9145094195712944,1.0
358,-22.155663555591158,3.9200157943749283,1.0
359,-22.163715165151192,3.8899283652144816,1.0
360,-22.172638445671,3.904135908989216,1.0
361,-22.181348224622287,3.9027975105708737,1.0
362,-22.18782229971506,3.8982718086882695,1.0
363,-22.194132676726674,3.8837474888822574,1.0
364,-22.20183108944563,3.9044674563653254,1.0
365,-22.211667885609508,3.9156067476540137,1.0
366,-22.21764107045113,3.9369443794133803,1.0
367,-22.22450076473758,3.903792577514102,1.0
368,-22.2331678359581,3.8946705480797323,1.0
369,-22.24062315608092,3.8714138556740187,1.0
370,-22.249340839364628,3.8679808509796803,1.0
371,-22.258806982842614,3.8095750652102556,1.0
372,-22.263738097340713,3.787918586225851,1.0
373,-22.269990203780644,3.7753810695527106,1.0
374,-22.27595969246729,3.754614004480068,1.0
375,-22.28409124276848,3.7485034181056127,1.0
376,-22.289733339278367,3.718030040311718,1.0
377,-22.299697392018835,3.708173949928223,1.0
378,-22.3051598632197,3.689002332493164,1.0
379,-22.312269867266888,3.6882925004510665,1.0
380,-22.318054239305262,3.679958937282747,1.0
381,-22.32949946363637,3.6975992824702866,1.0
382,-22.33590287431263,3.6977537221532426,1.0
383,-22.341703581562633,3.6827227849909483,1.0
384,-22.347135608386992,3.6667736471289545,1.0
385,-22.35458537430187,3.691019149029515,1.0
386,-22.3652298245703,3.687042747285594,1.0
387,-22.373742978029103,3.6851502833885004,1.0
388,-22.380191706620476,3.690553620162641,1.0
389,-22.384599407982012,3.689933444805225,1.0
390,-22.39312710225161,3.6790821227309576,1.0
391,-22.400199512683187,3.6404960595915226,1.0
392,-22.405441351622855,3.6456256827762408,1.0
393,-22.413098174721668,3.6249663886203503,1.0
394,-22.419912270692294,3.6193129387882257,1.0
395,-22.42715114588939,3.614403586192005,1.0
396,-22.432663321046444,3.6187218681608155,1.0
397,-22.439337147946475,3.617961966546463,1.0
398,-22.44692999521697,3.591914256606896,1.0
399,-22.45471513605973,3.5825045401374696,1.0
400,-22.459696633835353,3.577366854911661,1.0
401,-22.465938973513317,3.545820844002964,1.0
402,-22.471567851461742,3.5422751194742883,1.0
403,-22.478428384396338,3.5541335261389846,1.0
404,-22.485554105852582,3.4782781657467354,1.0
405,-22.492511473813728,3.4947713889753564,1.0
406,-22.496406539303926,3.481398743885426,1.0
407,-22.502865952008527,3.4593680110297433,1.0
408,-22.510088045721155,3.4532807378144845,1.0
409,-22.514566997538253,3.471266946044653,1.0
410,-22.5200260949256,3.439137394793618,1.0
411,-22.526416372079765,3.4345982729853315,1.0
412,-22.5317707758712,3.4283248760875544,1.0
413,-22.5377505295091,3.395701352877903,1.0
414,-22.54366686307456,3.3918196879835283,1.0
415,-22.548226146336194,3.3695955598693486,1.0
416,-22.555470499435632,3.334523456864691,1.0
417,-22.561940967815136,3.3543570343491838,1.0
418,-22.568312590432093,3.3428101680607547,1.0
419,-22.57423424859617,3.329522084474845,1.0
420,-22.580261897523457,3.29736248353418,1.0
421,-22.584824220685316,3.314418721070331,1.0
422,-22.590487204278848,3.2968801223833006,1.0
423,-22.59610432711821,3.2950378712097104,1.0
424,-22.600785231825956,3.287658117937147,1.0
425,-22.605936115350936,3.288056943025078,1.0
426,-22.610419605075332,3.290468491996734,1.0
427,-22.616228147713162,3.2695400767136897,1.0
428,-22.622957298952976,3.248338359457716,1.0
429,-22.626331564158463,3.2578739336522466,1.0
430,-22.63106197075264,3.2697756015746147,1.0
431,-22.635572680143298,3.2505315342894967,1.0
432,-22.639439016714082,3.23690374763625,1.0
433,-22.64515725504542,3.2700440946081746,1.0
434,-22.65120710239224,3.228113987412496,1.0
435,-22.657267963957516,3.2056933237727354,1.0
436,-22.66217036501151,3.2099250684388116,1.0
437,-22.668950979985848,3.177961322560973,1.0
438,-22.672889329335103,3.186420725143526,1.0
439,-22.676283431298465,3.193234658596905,1.0
440,-22.68294820326736,3.2017569369680485,1.0
441,-22.68871434832905,3.1826360200157806,1.0
442,-22.692670521383157,3.1949396818956215,1.0
443,-22.699073583884555,3.2246872849277715,1.0
444,-22.705111561397263,3.2261110905468806,1.0
445,-22.708909515215066,3.203375659413076,1.0
446,-22.712918866648984,3.2138378218288737,1.0
447,-22.717805919866105,3.2016531104154446,1.0
448,-22.723037681053185,3.1849104595223503,1.0
449,-22.72882126913024,3.1736161312246014,1.0
450,-22.734329660200522,3.16971147074882,1.0
451,-22.74071190204405,3.155181987561924,1.0
452,-22.746359323040554,3.153501946607837,1.0
453,-22.753342831967657,3.146787577310209,1.0
454,-22.757922887339095,3.14820937516847,1.0
455,-22.762463533473717,3.13820403941102,1.0
456,-22.766756672284693,3.1442611183177855,1.0
457,-22.771935616744866,3.1537395910631147,1.0
458,-22.777268744255014,3.1566019982142777,1.0
459,-22.78256278058923,3.1631855728154656,1.0
460,-22.788757649352675,3.17103643588754,1.0
461,-22.794614780385487,3.165788322089261,1.0
462,-22.802031065343826,3.144285236029646,1.0
463,-22.8061349266074,3.135729001612881,1.0
464,-22.810576932726,3.119757486991735,1.0
465,-22.81463147961173,3.121134385733788,1.0
466,-22.819738863123817,3.126557612334672,1.0
467,-22.824824123114908,3.112677572011951,1.0
468,-22.82944242206434,3.0903666275422523,1.0
469,-22.83626872378003,3.065807374808065,1.0
470,-22.842420852257412,3.066581742358841,1.0
471,-22.84667591892821,3.0771403163598974,1.0
472,-22.851748562184202,3.0874498221357323,1.0
473,-22.856568993824396,3.0863779717264332,1.0
474,-22.860562654512936,3.0718357932656444,1.0
475,-22.86829771718704,3.061132525686084,1.0
476,-22.872105817359184,3.055293507339206,1.0
477,-22.875735741596102,3.040958425445101,1.0
478,-22.881221282474975,3.019343869966084,1.0
479,-22.885711866729068,3.0322747557187366,1.0
480,-22.891728584742136,3.034808005344091,1.0
481,-22.895600549467705,3.02184318869167,1.0
482,-22.897829737034648,2.992455994236245,1.0
483,-22.90200895319442,2.9784906404244254,1.0
484,-22.907662246823914,2.949878637192762,1.0
485,-22.91326721317176,2.942286303998805,1.0
486,-22.91585386064051,2.9406631736657243,1.0
487,-22.919650901730133,2.9417442679186774,1.0
488,-22.92595993958827,2.927392614061541,1.0
489,-22.930788975677256,2.9214471209097304,1.0
490,-22.935370458827666,2.936739771190319,1.0
491,-22.940592350174185,2.935538546951908,1.0
492,-22.944769347761955,2.9416928984312367,1.0
493,-22.949556778138916,2.919315697658941,1.0
494,-22.955306251862485,2.91892750530332,1.0
495,-22.960873077722507,2.9341977094825014,1.0
496,-22.96499387631556,2.927846483474676,1.0
497,-22.96896960601594,2.9096422739348506,1.0
498,-22.97274951465078,2.8839128318789795,1.0
499,-22.976450122653734,2.896585412073559,1.0
500,-22.979214234544774,2.8808727532259266,1.0
501,-22.984440231827065,2.880425076987417,1.0
502,-22.989559571992682,2.901854913423271,1.0
503,-22.99482371957092,2.914989121176706,1.0
504,-23.0004099852605,2.915746174279076,1.0
505,-23.004060004146172,2.899476734464886,1.0
506,-23.008546555026992,2.8993912353065268,1.0
507,-23.013346726687818,2.8779874488624286,1.0
508,-23.018091335280474,2.881568190120183,1.0
509,-23.021760997896266,2.864123288496248,1.0
510,-23.025147309851544,2.843498803187584,1.0
511,-23.028276117270646,2.8276276570677523,1.0
512,-23.032022917254167,2.8183170701462643,1.0
513,-23.0372661396368,2.8341396963361785,1.0
514,-23.041573898575173,2.8018823430956967,1.0
515,-23.04548493839074,2.8150563463523484,1.0
516,-23.051012857508464,2.7922358093992323,1.0
517,-23.05333474934858,2.794488750405844,1.0
518,-23.057006770250347,2.7743147589265127,1.0
519,-23.061908087899862,2.7894833105331194,1.0
520,-23.065761054355455,2.7900925329213875,1.0
521,-23.0709504778815,2.771002480130113,1.0
522,-23.07422148190678,2.7619474697170308,1.0
523,-23.077055146994844,2.747853077507123,1.0
524,-23.079537162163412,2.7425450122799853,1.0
525,-23.083182631043147,2.7397411720607474,1.0
526,-23.087570782128008,2.730556890024011,1.0
527,-23.0914644174026,2.7124569085671206,1.0
528,-23.095429479219355,2.7020262425518586,1.0
529,-23.099059559117382,2.6786076972272985,1.0
530,-23.102288580665274,2.674990863683936,1.0
531,-23.10544650969943,2.661660381177903,1.0
532,-23.109069019637378,2.682860851032423,1.0
533,-23.113340356799537,2.6983573813724866,1.0
534,-23.117707267095675,2.7080109933191183,1.0
535,-23.12234264114032,2.733256371528437,1.0
536,-23.126353408431928,2.7324689945931997,1.0
537,-23.13119747437802,2.7273453907709313,1.0
538,-23.135649677098836,2.6919032608351134,1.0
539,-23.139894223899223,2.6481724835178846,1.0
540,-23.143371263309717,2.635394352353236,1.0
541,-23.147056319973906,2.651266377390957,1.0
542,-23.150269334972048,2.6450044361008502,1.0
543,-23.155211613003456,2.612855071535841,1.0
544,-23.158569367942036,2.6276166146986477,1.0
545,-23.16191993669381,2.61619750955399,1.0
546,-23.165552309687143,2.6000305492367786,1.0
547,-23.16971706518489,2.6066262252676773,1.0
548,-23.173880098023737,2.583761105903644,1.0
549,-23.177530242470812,2.55157878484205,1.0
550,-23.18139157516725,2.556689449274013,1.0
551,-23.184666795767566,2.5690964723235656,1.0
552,-23.188657987615112,2.5955853076095154,1.0
553,-23.191338411530637,2.601404083658107,1.0
554,-23.193520466992105,2.6046842417527336,1.0
555,-23.196607288260108,2.5928764295502797,1.0
556,-23.200384600966526,2.581484543037954,1.0
557,-23.203620715197996,2.593701375334333,1.0
558,-23.20766321979401,2.6126566653902845,1.0
559,-23.210673178085237,2.5951685173237506,1.0
560,-23.213720377558083,2.599681112822106,1.0
561,-23.21651740820943,2.610180675577481,1.0
562,-23.22022274715331,2.5821562117559695,1.0
563,-23.22451412374558,2.5808413149669254,1.0
564,-23.22852542735463,2.5654222618513467,1.0
565,-23.232710853640654,2.568946480405798,1.0
566,-23.236964774222045,2.5856200095314814,1.0
567,-23.240852256203553,2.593968926692738,1.0
568,-23.245055702058572,2.5730637352616843,1.0
569,-23.247510838679887,2.556054303510194,1.0
570,-23.250783826725606,2.534605677048632,1.0
571,-23.254409858857958,2.5193685484208124,1.0
572,-23.25721007841033,2.5275054531769525,1.0
573,-23.25970949857675,2.533567323346869,1.0
574,-23.263771191536453,2.529898096394682,1.0
575,-23.26730483989835,2.5278221959878104,1.0
576,-23.270464181304156,2.5112462900291854,1.0
577,-23.274483495095367,2.4819982168709465,1.0
578,-23.277567007331015,2.4587003833070615,1.0
579,-23.280367016697703,2.45279319416178,1.0
580,-23.283384148412736,2.436811471819764,1.0
581,-23.286767993877174,2.4538774280062174,1.0
582,-23.290528249730638,2.4500416751504757,1.0
583,-23.293174545664716,2.436549955782102,1.0
584,-23.29648721813486,2.4347024304083846,1.0
585,-23.299942060461177,2.411200457176077,1.0
586,-23.303958791146503,2.4265491329380637,1.0
587,-23.30702161770319,2.4108946812285943,1.0
588,-23.309829155816853,2.4351959032681196,1.0
589,-23.312836533863305,2.428473788309479,1.0
590,-23.31737638664601,2.4077646792677374,1.0
591,-23.320420560001864,2.4059905880783936,1.0
592,-23.324648981951484,2.4078806511421673,1.0
593,-23.32729262603332,2.4088450773982237,1.0
594,-23.330514299443365,2.4144598438314473,1.0
595,-23.33375837947711,2.4317312237574886,1.0
596,-23.335366164789093,2.4230642611248427,1.0
597,-23.338187557498312,2.4098936627406062,1.0
