k,f,grad_norm,alpha,rk_residual
263,-45.15420045741495,5.3062298160578506e-08,1.862645149230957e-09,1.2140695735336465e-11
264,-45.15420045741495,5.306229814129637e-08,1.862645149230957e-09,1.2288291825771653e-11
265,-45.15420045741495,5.3062298122014234e-08,1.862645149230957e-09,1.1783452265459441e-11
266,-45.15420045741495,5.306229810273209e-08,1.862645149230957e-09,1.1858523697351081e-11
267,-45.15420045741495,5.3062298083449955e-08,1.862645149230957e-09,1.2413497328010719e-11
268,-45.15420045741495,5.306229806416781e-08,1.862645149230957e-09,1.06582058141005e-11
269,-45.15420045741495,5.306229804488568e-08,1.862645149230957e-09,9.559344489379754e-12
270,-45.15420045741495,5.306229802560354e-08,1.862645149230957e-09,1.004431320721036e-11
271,-45.15420045741495,5.3062298006321405e-08,1.862645149230957e-09,1.1483944593007045e-11
272,-45.15420045741495,5.306229798703926e-08,1.862645149230957e-09,1.1597822737694933e-11
273,-45.15420045741495,5.306229796775713e-08,1.862645149230957e-09,1.2016544928528577e-11
274,-45.15420045741495,5.306229794847499e-08,1.862645149230957e-09,1.335894003409164e-11
275,-45.15420045741495,5.3062297929192854e-08,1.862645149230957e-09,1.4401868289271548e-11
276,-45.15420045741495,5.306229790991072e-08,1.862645149230957e-09,1.3796239949801028e-11
277,-45.15420045741495,5.3062297890628576e-08,1.862645149230957e-09,1.390061166045522e-11
278,-45.15420045741495,5.306229787134644e-08,1.862645149230957e-09,1.288445787731469e-11
279,-45.15420045741495,5.30622978520643e-08,1.862645149230957e-09,1.3938789754649747e-11
280,-45.15420045741495,5.306229783278216e-08,1.862645149230957e-09,1.400894076506023e-11
281,-45.15420045741495,5.3062297813500026e-08,1.862645149230957e-09,1.4954245387411777e-11
282,-45.15420045741495,5.306229779421788e-08,1.862645149230957e-09,1.362630186739574e-11
283,-45.15420045741495,5.3062297774935754e-08,1.862645149230957e-09,1.3960212659641045e-11
284,-45.15420045741495,5.306229775565361e-08,1.862645149230957e-09,1.3445061012961668e-11
285,-45.15420045741495,5.3062297736371475e-08,1.862645149230957e-09,1.1373724049410525e-11
286,-45.15420045741495,5.306229771708934e-08,1.862645149230957e-09,1.0826689353344062e-11
287,-45.15420045741495,5.30622976978072e-08,1.862645149230957e-09,1.1131683642686902e-11
288,-45.15420045741495,5.306229767852507e-08,1.862645149230957e-09,1.224551033077715e-11
289,-45.15420045741495,5.3062297659242925e-08,1.862645149230957e-09,1.2205842429942936e-11
290,-45.15420045741495,5.306229763996079e-08,1.862645149230957e-09,1.3630871596199762e-11
291,-45.15420045741495,5.306229762067865e-08,1.862645149230957e-09,1.3702852334177885e-11
292,-45.15420045741495,5.306229760139652e-08,1.862645149230957e-09,1.347268414105336e-11
293,-45.15420045741495,5.306229758211438e-08,1.862645149230957e-09,1.4624531071729945e-11
